episode,reward
0,7865.948981
1,7982.892932
2,7973.585383
3,7979.160529
4,7990.191034
5,7981.158617
6,7983.599591
7,7952.016272
8,7955.20845
9,7962.928814
10,7975.896847
11,7937.40975
12,7977.164055
13,7979.760922
14,7987.778541
15,7983.657041
16,7986.981393
17,14898.373864
18,7994.064668
19,7910.814258
20,7961.489564
21,7958.120344
22,7944.399244
23,7942.480856
24,7936.838032
25,7943.765809
26,7953.164846
27,7939.83887
28,7938.022245
29,7935.070464
30,7938.70005
31,7968.179432
32,7966.731108
33,7955.395389
34,14820.858125
35,7955.450939
36,7957.29633
37,7951.216053
38,7952.036414
39,7954.093859
40,7948.774649
41,7954.478386
42,7924.700963
43,7894.145944
44,7947.384442
45,7948.707884
46,7852.475645
47,7945.148715
48,7749.223801
49,7953.322204
50,7949.13549
51,14808.373094
52,7932.818315
53,7948.378852
54,7950.997552
55,7905.372775
56,7933.161276
57,7945.603718
58,7938.059947
59,7950.417219
60,7955.316968
61,7945.413261
62,7925.792643
63,7954.104951
64,7950.298432
65,7950.626616
66,7938.144241
67,7940.922135
68,14832.205043
69,7952.383104
70,7947.734463
71,7942.437859
72,7953.093286
73,7951.458859
74,7955.981279
75,7953.944359
76,7948.066773
77,7956.603348
78,7955.519423
79,7953.67111
80,7953.543243
81,7947.590916
82,7942.810872
83,7924.885469
84,7940.451085
85,14820.907826
86,7929.11875
87,7945.135873
88,7944.457888
89,7933.369439
90,7938.303478
91,7946.594525
92,7939.447665
93,7914.408889
94,7953.879624
95,7951.577001
96,7868.884713
97,7896.859171
98,7794.920023
99,7898.072341
100,7944.156811
101,7919.145341
102,14786.2834
103,7956.104095
104,7953.122769
105,7927.730118
106,7864.771366
107,7889.476371
108,7920.597
109,7942.199452
110,7932.726354
111,7943.699501
112,7942.315175
113,7950.387126
114,7931.495237
115,7944.77489
116,7903.460892
117,7943.602579
118,7915.943378
119,14797.503387
120,7816.320636
121,7949.959964
122,7951.025142
123,7948.604541
124,7943.760906
125,7934.010861
126,7947.273017
127,7949.246079
128,7942.928593
129,7942.899816
130,7939.776355
131,7926.795982
132,7933.043648
133,7941.315058
134,7924.689946
135,7948.072317
136,14819.593178
137,7912.65141
138,7937.310431
139,7960.339981
140,7922.547991
141,7947.582909
142,7955.046461
143,7950.194256
144,7946.832534
145,7960.81806
146,7959.97497
147,7956.676353
148,7946.159571
149,7926.268304
150,7962.832383
151,7962.508701
152,7963.738454
153,14837.651599
154,7951.704921
155,7936.75296
156,7920.380391
157,7958.534689
158,7946.347762
159,7938.350121
160,7948.710567
161,7954.701595
162,7931.813779
163,7923.792738
164,7916.684332
165,7926.505656
166,7930.178962
167,7919.010258
168,7901.043326
169,7923.15018
170,14746.476136
171,7881.158979
172,7954.488997
173,7959.251119
174,7951.932926
175,7956.611379
176,7962.376188
177,7962.208531
178,7961.77683
179,7961.908307
180,7958.1975
181,7964.003868
182,7964.692667
183,7956.126367
184,7964.175334
185,7979.036972
186,7971.680962
187,14871.74122
188,7984.49291
189,7984.757557
190,7982.085627
191,7981.135509
192,7977.315402
193,7981.219174
194,7974.858115
195,7983.80977
196,7981.901589
197,7983.612171
198,7978.448575
199,7978.628846
200,7985.722377
201,7984.626876
202,7986.055385
203,7982.437557
204,14884.571042
205,7982.587704
206,7982.641352
207,7986.011618
208,7979.672593
209,7982.619371
210,7976.795393
211,7980.242431
212,7982.091234
213,7983.073285
214,7981.435526
215,7985.09503
216,7979.193989
217,7984.927696
218,7985.439129
219,7983.859563
220,7984.610698
221,14896.735185
222,7975.028001
223,7984.896298
224,7985.364257
225,7984.525251
226,7984.015599
227,7985.568495
228,7981.78159
229,7984.507731
230,7985.318263
231,7984.874238
232,7986.268787
233,7986.266252
234,7980.663554
235,7984.851786
236,7986.155576
237,7985.279366
238,14899.180306
239,7985.899291
240,7976.097131
241,7985.107337
242,7985.003417
243,7985.52927
244,7981.77037
245,7983.456377
246,7985.371632
247,7980.560587
248,7983.72472
249,7985.978505
250,7981.258771
251,7984.741942
252,7986.534755
253,7985.074082
254,7984.299976
255,14900.700481
256,7986.143633
257,7984.473688
258,7982.329976
259,7984.32028
260,7985.093183
261,7985.948246
262,7981.496388
263,7984.809413
264,7985.849141
265,7985.129333
266,7981.582628
267,7985.192798
268,7985.906749
269,7985.915043
270,7982.326903
271,7984.526567
272,14902.77857
273,7980.734109
274,7986.234637
275,7985.53654
276,7985.618006
277,7981.09797
278,7985.608828
279,7985.199283
280,7984.589602
281,7981.223419
282,7984.909168
283,7985.036241
284,7984.967782
285,7980.273578
286,7986.134737
287,7984.753353
288,7985.359052
289,14898.608273
290,7984.578189
291,7981.943582
292,7985.48584
293,7985.413376
294,7983.930991
295,7981.1563
296,7985.938172
297,7984.758403
298,7985.140805
299,7980.689715
300,7984.229851
301,7985.326255
302,7985.846889
303,7979.992322
304,7985.253061
305,7985.373449
306,14900.153026
307,7985.654267
308,7981.027205
309,7985.786396
310,7985.324182
311,7983.532836
312,7981.514907
313,7985.49896
314,7985.770202
315,7985.363909
316,7981.951207
317,7983.474343
318,7985.374146
319,7984.327402
320,7985.68305
321,7981.169747
322,7985.175607
323,14899.985
324,7985.845982
325,7985.39458
326,7981.986273
327,7984.346927
328,7984.793846
329,7984.672257
330,7981.885796
331,7986.068045
332,7986.077611
333,7985.804163
334,7979.465469
335,7985.047336
336,7985.507776
337,7985.294955
338,7982.141006
339,7985.639896
