dataset,method,routing_latency_ms,backend_write_latency_ms,total_latency_ms
Loghub-zenodo_Logs,a2c,1.1974647891116657,20.687030748618888,21.884495537730555
Loghub-zenodo_Logs,direct_elk,0.21329192581531725,15.972786748710833,16.18607867452615
Loghub-zenodo_Logs,direct_ipfs,0.21267081978499153,60.27150109761399,60.48417191739898
Loghub-zenodo_Logs,direct_mysql,0.21319055971857387,7.000985932792652,7.214176492511227
Loghub-zenodo_Logs,q_learning,0.8991385318253654,19.34030750771388,20.239446039539246
Loghub-zenodo_Logs,static,0.6030976016709232,17.995517154298742,18.598614755969667
Synthetic_Datacenter_Logs,a2c,1.1992045852855329,21.748909427221964,22.948114012507492
Synthetic_Datacenter_Logs,direct_elk,0.21282351109292214,17.622610204508245,17.835433715601166
Synthetic_Datacenter_Logs,direct_ipfs,0.21285897394465383,65.99872928112912,66.21158825507378
Synthetic_Datacenter_Logs,direct_mysql,0.21294924561488993,7.701944423299609,7.914893668914499
Synthetic_Datacenter_Logs,q_learning,0.9004684372248822,20.187058778105133,21.087527215330013
Synthetic_Datacenter_Logs,static,0.6034516968975915,17.2058453805126,17.80929707741019
