dataset,method,LogsProcessed,TotalEnergyWh,EnergyPerLogWh,CarbonEmissionsKg,AvgLatencyMs,ThroughputLogsPerSec,EmissionsFactorKgPerKWh,SuccessRate
Loghub-zenodo_Logs,a2c,14000,0.2384366906684344,1.7031192190602456e-05,0.0555557489257452,21.884495537730547,45.69445058835939,0.233,0.9874285714285714
Loghub-zenodo_Logs,direct_elk,14000,0.2019247795360738,1.4423198538290989e-05,0.0470484736319052,16.18607867452615,61.78148643091747,0.233,0.9876428571428572
Loghub-zenodo_Logs,direct_ipfs,14000,0.5467627226992051,3.905448019280037e-05,0.1273957143889148,60.48417191739898,16.533251068819514,0.233,0.9707142857142858
Loghub-zenodo_Logs,direct_mysql,14000,0.1323748837226449,9.45534883733178e-06,0.0308433479073762,7.214176492511227,138.61595998352183,0.233,0.9961428571428571
Loghub-zenodo_Logs,q_learning,14000,0.2281613113541806,1.6297236525298615e-05,0.053161585545524,20.23944603953925,49.40846691388818,0.233,0.9886428571428572
Loghub-zenodo_Logs,static,14000,0.2176966059489888,1.5549757567784918e-05,0.0507233091861144,18.598614755969663,53.767445216801775,0.233,0.9894285714285714
Synthetic_Datacenter_Logs,a2c,200000,3.528826511814244,1.764413255907122e-05,0.8222165772527189,22.9481140125075,43.57656578902154,0.233,0.98836
Synthetic_Datacenter_Logs,direct_elk,200000,3.0696352814315664,1.5348176407157832e-05,0.715225020573555,17.835433715601162,56.06816273412356,0.233,0.9869
Synthetic_Datacenter_Logs,direct_ipfs,200000,8.444475033366597,4.222237516683299e-05,1.9675626827744173,66.21158825507376,15.103096396775689,0.233,0.969325
Synthetic_Datacenter_Logs,direct_mysql,200000,1.9665055783860352,9.832527891930176e-06,0.4581957997639462,7.914893668914498,126.3440851931428,0.233,0.996145
Synthetic_Datacenter_Logs,q_learning,200000,3.354463003301392,1.6772315016506957e-05,0.7815898797692242,21.087527215330013,47.42139700822908,0.233,0.98886
Synthetic_Datacenter_Logs,static,200000,3.023369268161648,1.511684634080824e-05,0.7044450394816639,17.80929707741019,56.15044746872284,0.233,0.990545
